"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.72436","97.99226","","94.72127","92.79219","93.10495","96.73629","","","","97.82105","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","8.47242","","","","","","","","","","","","","","","","","","","13.69764","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","43.48325","40.20312","","","","","","","","","","","","","","","41.96925","","","","","","","","","","76.49962","75.33412","74.64644","71.48141","","","","","","","","","",
"Albania","ALB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.98725","95.3679","94.45652","","92.23154","91.97377","","","","87.34731","85.71818","86.81675","88.24009","90.952","97.16724","","","","","","","",
"Andorra","AND","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.28387","72.19401","73.55228","75.17481","76.51463","77.32907","77.94774","79.10946","79.58348","80.44079","82.21837","82.24648","83.55279","83.44254","84.11878","83.21839","83.34494","83.18996","83.82028","83.99478","84.25278","","",
"United Arab Emirates","ARE","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","79.78934","","76.6383","73.43204","77.97162","72.52615","72.22917","72.0427","73.15823","83.3039","86.14692","90.82089","95.10462","95.87303","91.93585","90.13375","88.54075","88.80909","86.10874","82.49258","83.43582","","","","","","","","","94.2901","","","","","94.53711","","","","","","","","",
"Argentina","ARG","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","96.12037","","","","96.32869","96.09376","","","","","","","","","","","","","","","","96.00714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.72919","85.77811","","89.69792","93.35196","98.39569","","","","95.76167","96.88121","96.94188","94.47563","93.62911","92.76478","92.26242","90.65059","","",
"American Samoa","ASM","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.04599","","93.81726","98.43915","","98.69226","","","",
"Australia","AUS","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","96.66083","","95.61789","95.03012","97.49052","98.35892","","","","","","99.05941","97.89896","96.17074","96.45473","97.25597","97.91632","98.66307","98.77965","98.27587","97.68312","97.44872","97.00772","96.71711","95.27062","95.79718","95.55864","95.85662","95.80612","96.01008","","","96.58515","96.83268","","","","","","","98.10016","98.35632","","","","","96.87867","","","",
"Austria","AUT","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.73198","","","","","","","","","","","91.79287","90.85464","88.97526","88.2903","88.85254","88.85301","88.85499","88.69161","88.10305","88.02457","87.93344","87.88016","89.00335","88.9843","89.50251","89.43862","89.72229","","","","",
"Azerbaijan","AZE","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.78084","95.44674","93.76938","81.44887","90.40977","97.36618","89.18087","87.86644","92.18137","88.01044","84.79876","83.88251","80.86988","82.68182","81.51585","80.84676","83.12687","83.64021","84.69929","84.09397","85.96543","88.10681","91.82654","","","","98.76192","92.43446","","",
"Burundi","BDI","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","13.8499","","","","","13.71061","","15.04514","16.53072","18.5612","23.7192","28.0895","32.32319","35.33768","40.80462","44.49855","","","","","45.17336","","","","","","","37.63632","45.46107","44.42929","48.2505","51.51351","55.05031","73.19322","80.84789","91.91476","91.43263","96.55613","","","","","","","97.16765","94.82571","","",
"Belgium","BEL","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","96.42127","","97.91599","98.44774","97.5045","97.38166","94.71105","94.13783","93.78456","95.13323","96.7241","98.04386","","","97.92838","96.34972","97.97415","97.27382","97.21866","97.66343","","","","99.36219","","99.07209","98.03134","96.61369","96.2121","96.42589","97.46238","98.06133","97.94753","97.73288","97.86878","98.1291","98.16097","97.98765","98.34136","98.62326","99.24697","","","",
"Benin","BEN","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","33.32624","33.95625","32.95244","","32.79162","33.24379","27.08335","","32.99804","36.29644","38.66781","41.25013","43.90907","47.59339","","","","","","","","","78.42552","","83.58132","","","","","","","","","","","","",
"Burkina Faso","BFA","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","7.43154","7.88891","","","","","9.34184","9.67422","10.08639","10.8048","11.48837","12.50584","13.65414","14.51375","16.02022","17.67218","18.79343","19.29117","19.74278","","21.36674","21.8341","22.70059","23.67345","24.94242","","","28.29705","29.02473","30.36826","31.5537","31.05662","33.40368","35.84748","40.6743","44.51913","49.9437","56.46157","59.93397","","62.77919","64.39528","65.70426","67.00632","68.75138","74.75263","76.07373","78.43496","","",
"Bangladesh","BGD","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","34.56778","","","50.74888","","","","54.57236","53.73746","","","55.53359","","49.21855","52.90903","51.44759","51.01904","50.24342","64.54924","64.80315","68.95354","","","","","","","","","","","","","","","","","","96.95468","","","","","","","","","","","","",
"Bulgaria","BGR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.71352","94.18397","95.98964","96.71662","96.25953","96.29859","95.71701","96.18432","96.91288","95.75172","96.5228","","","","","","97.26934","95.36479","94.21696","91.93717","89.27894","88.14373","","","",
"Bahrain","BHR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","67.2291","70.65703","72.44004","72.5405","75.90756","73.8364","73.57305","72.7629","74.97447","78.13813","78.47891","76.92443","80.67743","85.49123","91.3604","95.87053","96.04177","97.88943","98.79704","","","97.96123","98.80626","99.01581","99.9328","","","","","","97.59441","96.74135","95.79683","95.10547","92.2918","94.96169","","","","","92.98872","93.54156","94.24128","96.22045","98.38984","98.75164","","97.19373","","",
"Bahamas, The","BHS","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.84671","89.7622","","","","","","90.3764","","","","","89.54799","90.86115","86.62987","87.33135","85.73088","83.02412","80.82471","85.81722","80.11429","74.79154","75.97175","79.8127","76.56375","","75.33159","","",
"Bosnia and Herzegovina","BIH","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Adjusted net enrollment rate, primary, female (% of primary school age children)","SE.PRM.TENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.28125","","","","","","","","","","","","","","","","","","94.41777","93.5814","95.11171","96.46518","","95.08603","","",
